Log.txt file created...
69.589523 1.000000 0.500000
51.241802 1.000000 0.500000
153.055206 1.000000 0.500000
12.634664 1.000000 0.500000
50.494705 1.000000 0.500000
initialize() successful...
183.334457 1.000000 0.500000
197.298508 1.000000 0.500000
1.538133 1.000000 0.500000
232.400894 1.000000 0.500000
266.195862 1.000000 0.500000
19.248634 1.000000 0.500000
307.923218 1.000000 0.500000
328.512207 1.000000 0.500000
177.346710 1.000000 0.500000
130.774261 1.000000 0.500000
285.114899 1.000000 0.500000
196.683258 1.000000 0.500000
321.821350 1.000000 0.500000
216.843765 1.000000 0.500000
338.103577 1.000000 0.500000
241.904358 1.000000 0.500000
24.577168 1.000000 0.500000
322.480560 1.000000 0.500000
151.901611 1.000000 0.500000
149.187897 1.000000 0.500000
50.659504 1.000000 0.500000
132.652969 1.000000 0.500000
131.499374 1.000000 0.500000
323.524261 1.000000 0.500000
85.036774 1.000000 0.500000
52.395397 1.000000 0.500000
321.920227 1.000000 0.500000
89.914856 1.000000 0.500000
Log file is closed...
